,pinyin,MC (B&S),GSR,漢語大字典,廣韻,
銚,diao4,thew,1145h,64200.020,144.23 148.35 413.03,20
跌,die1,det,0402j,63695.060,493.18,6
堞,die2,dep,0633f,10460.050,541.43,6
牒,die2,dep,0633g,32017.100,541.39,6
蝶,die2,dep,0633h,42868.010,541.08 541.61,13
褋,die2,dep,0633i,53101.200,541.56,6
諜,die2,dep,0633j,63994.070,541.42,6
蹀,die2,dep,0633k,63721.040,541.41,6
褶,die2,dep,0690g,53112.220,531.19 531.37 541.59,20
疊,die2,dep,1255a,42555.140,541.49,6
曡,die2,dep,1255b,21541.020,541.48,6
墆,die2,det,0315d,10478.140,372.14 493.27,13
泆,die2,det,0402c,31587.070,469.30 493.41,13
軼,die2,det,0402d,53521.050,469.28 493.22,13
瓞,die2,det,0402i,42654.110,493.25,6
迭,die2,det,0402k,63824.040,493.17,6
眣,die2,det,0402l,42480.080,469.47 491.22 493.11,20
窒,die2,det,0413h,42728.140,470.09 496.11,13
咥,die2,det,0413m,10614.040,469.46 493.26 496.15,20
垤,die2,det,0413n,10438.090,493.15,6
絰,die2,det,0413q,53392.090,493.19,6
窒,die2,tet,0413h,42728.140,470.09 496.11,13
眣,die2,trhit,0402l,42480.080,469.47 491.22 493.11,20
耊,die4,det,0413r,42782.020,,0
丁,ding1,teng,0833a,10002.050,188.41 194.35,13
頂,ding3,tengX,0833e,74355.030,319.35,6
鼎,ding3,tengX,0834a,74740.010,319.40,6
定,ding4,dengH,0833z,20918.020,432.05 432.12,13
定,ding4,tengH,0833z,20918.020,432.05 432.12,13
冬,dong1,towng,1002a,20867.190,032.30,6
東,dong1,tuwng,1175a,21165.040,022.01,6
蝀,dong1,tuwng,1175h,42860.040,023.06 235.02,13
董,dong3,tuwngX,1188l,53250.030,235.01,6
洞,dong4,duwngH,1176h,31607.030,023.33 343.09,13
侗,dong4,duwngX,1176j,10148.020,023.34 031.31 236.18,20
動,dong4,duwngX,1188m,10375.060,237.24,6
凍,dong4,tuwngH,1175e,10298.070,023.07 342.24,13
棟,dong4,tuwngH,1175f,21227.050,342.25,6
涷,dong4,tuwngH,1175g,31643.020,023.05 342.23,13
湩,dong4,tuwngH,1188c,31680.020,239.41 342.26 345.06,20
兜,dou1,tuw,0117a,10273.160,215.14,6
斗,dou3,tuwX,0116a,32252.010,325.42,6
豆,dou4,duwH,0118a,63565.010,438.24,6
脰,dou4,duwH,0118d,32076.070,438.30,6
竇,dou4,duwH,1023s,42745.120,438.25,6
鬥,dou4,tuwH,1234a,74515.010,438.40,6
鬭,dou4,tuwH,1235c,74517.030,,0
𧱓,dou4,tuwH,1246a,63615.020,,0
督,du1,towk,1031n,42495.120,460.01,6
都,du1,tu,0045e',63776.070,086.18,6
闍,du1,tu,0045h',74302.110,086.20 168.47,13
毒,du2,dowk,1016a,42382.050,459.43,6
纛,du2,dowk,1016b,53470.160,417.09 459.48,13
匵,du2,duwk,1023f,10090.130,449.29,6
嬻,du2,duwk,1023g,21088.090,449.24,6
櫝,du2,duwk,1023h,21312.010,449.07,6
殰,du2,duwk,1023i,21396.040,449.05,6
瀆,du2,duwk,1023j,31776.060,449.20,6
牘,du2,duwk,1023k,32021.020,449.08,6
犢,du2,duwk,1023l,31821.020,449.25,6
讀,du2,duwk,1023m,64029.010,449.06,6
讟,du2,duwk,1023n,64035.090,449.02,6
䢱,du2,duwk,1023o,63893.070,449.13,6
韇,du2,duwk,1023q,74352.180,449.23,6
黷,du2,duwk,1023r,74757.060,449.01,6
獨,du2,duwk,1224i,21372.030,448.08,6
襡,du2,duwk,1224j,53118.030,326.06 327.45 438.47 449.17 462.05,34
韣,du2,duwk,1224k,74511.110,449.18 461.16 461.45,20
髑,du2,duwk,1224m,74420.010,449.03,6
韣,du2,dzyowk,1224k,74511.110,449.18 461.16 461.45,20
䪅,du2,dzyowk,1224l,74351.130,,0
裻,du2,sowk,1031o,53095.100,460.08 460.31,13
裻,du2,towk,1031o,53095.100,460.08 460.31,13
韣,du2,tsyowk,1224k,74511.110,449.18 461.16 461.45,20
䪅,du2,tsyowk,1224l,74351.130,,0
竺,du3,towk,1019f,52947.020,450.19 457.06 459.52,20
篤,du3,towk,1019g,52997.060,459.51,6
帾,du3,tuX,0045b',10746.080,265.34,6
睹,du3,tuX,0045c',42494.030,265.29,6
覩,du3,tuX,0045d',63669.170,265.28,6
堵,du3,tuX,0045y,10448.070,265.32 307.37,13
賭,du3,tuX,,63645.090,265.31,6
斁,du4,duH,0790d,21478.060,367.09 368.20 517.11,20
度,du4,duH,0801a,20880.060,367.11 504.30,13
渡,du4,duH,0801b,31683.120,367.08,6
杜,du4,duX,0062g,21157.020,264.34,6
㓃,du4,tuH,0780j,10305.070,368.16 422.24,13
斁,du4,tuH,0790d,21478.060,367.09 368.20 517.11,20
殬,du4,tuH,0790q,21395.100,368.19,6
妬,du4,tuH,0795n,21035.100,368.10,6
妒,du4,tuH,0795o,21033.070,368.09,6
蠹,du4,tuH,0795r,42908.090,368.17,6
耑,duan1,twan,0168a,42812.010,124.24,6
端,duan1,twan,0168d,42714.010,124.20,6
剬,duan1,twan,0168e,10348.070,124.22 294.30,13
褍,duan1,twan,0168f,53103.030,124.21 305.39,13
鍴,duan1,twan,0168g,64231.110,124.25,6
短,duan3,twanX,0169a,42584.030,285.19,6
段,duan4,dwanH,0172a,32155.100,403.36,6
斷,duan4,dwanX,0170a,32028.130,285.21 286.29 403.46,20
段,duan4,thwanH,0172a,32155.100,403.36,6
斷,duan4,twanH,0170a,32028.130,285.21 286.29 403.46,20
段,duan4,twanH,0172a,32155.100,403.36,6
鍛,duan4,twanH,0172c,64233.010,403.43,6
腶,duan4,twanH,0172d,32097.020,403.44,6
斷,duan4,twanX,0170a,32028.130,285.21 286.29 403.46,20
敦,dui1,twoj,0464p,21468.010,097.57 118.16 124.54 399.11,27
堆,dui1,twoj,0575z,10454.040,097.48,6
敦,dui1,twon,0464p,21468.010,097.57 118.16 124.54 399.11,27
陮,dui3,dwojX,0575b',64137.170,272.24,6
懟,dui4,drwijH,0511i,42363.100,356.03,6
兌,dui4,dwajH,0324a,10271.010,381.31,6
銳,dui4,dwajH,0324f,64211.121,376.07 381.34,13
錞,dui4,dwojH,0464g,64223.070,107.15 272.22 387.31,20
鐓,dui4,dwojH,0464h,64258.020,387.30,6
憝,dui4,dwojH,0464u,42351.050,387.27,6
譈,dui4,dwojH,0464v,64019.140,387.29,6
隊,dui4,dwojH,0526f,64148.090,387.24,6
錞,dui4,dwojX,0464g,64223.070,107.15 272.22 387.31,20
鐓,dui4,dwojX,0464h,64258.020,387.30,6
兌,dui4,thwajH,0324a,10271.010,381.31,6
轛,dui4,trwijH,0511h,53560.040,356.14 388.23,13
祋,dui4,twajH,0323a,42389.020,382.26 487.19,13
敦,dui4,twojH,0464p,21468.010,097.57 118.16 124.54 399.11,27
對,dui4,twojH,0511a,10511.090,388.19,6
轛,dui4,twojH,0511h,53560.040,356.14 388.23,13
蹲,dun1,dzwon,0430n,63741.070,118.12,6
惇,dun1,tsywin,0464n,42318.040,106.36 118.17,13
蜳,dun1,twon,0464o,42865.080,,0
敦,dun1,twon,0464p,21468.010,097.57 118.16 124.54 399.11,27
鈍,dun4,dwonH,0427i,64175.030,399.45,6
遯,dun4,dwonH,0428d,63876.210,282.47 399.47,13
遁,dun4,dwonH,0465e,63859.120,282.46 399.46,13
沌,dun4,dwonX,0427h,31561.090,119.26 282.43 294.24,20
豚,dun4,dwonX,0428a,63611.080,119.14,6
遯,dun4,dwonX,0428d,63876.210,282.47 399.47,13
盾,dun4,dwonX,0465a,42475.050,278.14 282.42,13
楯,dun4,dwonX,0465b,21252.040,106.41 108.27 278.17,20
遁,dun4,dwonX,0465e,63859.120,282.46 399.46,13
頓,dun4,twonH,0427j,74360.050,399.09,6
盾,dun4,zywinX,0465a,42475.050,278.14 282.42,13
多,duo1,ta,0003a,20862.020,159.19,6
剟,duo1,trjwet,0295g,10347.050,487.16 499.20,13
剟,duo1,twat,0295g,10347.050,487.16 499.20,13
咄,duo1,twot,0496h,10609.100,480.39 487.20,13
鐸,duo2,dak,0790p,64264.010,504.28,6
度,duo2,dak,0801a,20880.060,367.11 504.30,13
剫,duo2,dak,0801c,10349.040,504.29,6
奪,duo2,dwajH,0274a,10547.140,486.26,6
奪,duo2,dwat,0274a,10547.140,486.26,6
敓,duo2,dwat,0324j,21463.060,486.28,6
掇,duo2,trjwet,0295h,31909.080,487.15 499.25,13
掇,duo2,twat,0295h,31909.080,487.15 499.25,13
鬌,duo3,drjwe,0011j,74530.030,042.43 305.26 306.22,20
鬌,duo3,dwaX,0011j,74530.030,042.43 305.26 306.22,20
痑,duo3,taH,0003d,42672.110,122.05 160.48 419.22,20
痑,duo3,tha,0003d,42672.110,122.05 160.48 419.22,20
朵,duo3,twaX,0010a,21155.050,305.29,6
朶,duo3,twaX,0010b,21156.080,305.30,6
鬌,duo3,twaX,0011j,74530.030,042.43 305.26 306.22,20
埵,duo3,twaX,0031l,10454.020,305.25,6
揣,duo3,twaX,0168q,31917.060,246.14 305.32,13
拖,duo4,daX,0004f',31853.080,420.05,6
陊,duo4,drjeX,0003o,64127.030,244.08 304.20,13
媠,duo4,dwaH,0011k,21064.100,306.26 421.03,13
惰,duo4,dwaH,0011l,42326.110,306.20 421.02,13
嶞,duo4,dwaX,0011d,10795.160,306.24,6
墮,duo4,dwaX,0011e,10484.030,042.35 306.11 306.30,20
惰,duo4,dwaX,0011l,42326.110,306.20 421.02,13
鵽,duo4,trwaet,0295-,74643.240,487.17 488.42 490.50,20
癉,duo4?,taH,0147l,42697.030,121.22 122.18 304.12 419.21,27
阿,e1,'a,0001m,64119.110,161.31,6
猗,e1,'aX,0001h',21352.040,049.12 242.44,13
俄,e2,nga,0002h,10162.140,160.36,6
娥,e2,nga,0002i,21052.100,160.32,6
峨,e2,nga,0002k,10774.150,,0
睋,e2,nga,0002l,42491.090,160.39,6
莪,e2,nga,0002m,53219.150,160.30,6
誐,e2,nga,0002n,63977.020,160.41,6
鵝,e2,nga,0002p,74635.100,160.35,6
鵞,e2,nga,0002p,74636.030,,0
蛾,e2,nga,0002q,42856.060,160.38 243.18,13
頟,e2,ngaek,0766j',74369.090,511.25,6
吪,e2,ngwa,0019d,10590.050,163.05,6
訛,e2,ngwa,0019e,63947.080,163.03,6
譌,e2,ngwa,0027m,64019.121,163.04,6
啞,e4,'aek,0805f,10636.070,308.18 421.49 511.40 515.50,27
堊,e4,'ak,0805g,10449.060,507.32,6
惡,e4,'ak,0805h,42307.120,085.22 369.43 507.30,20
頞,e4,'at,0146h,74371.020,483.40,6
閼,e4,'at,0270a,74306.030,134.16 143.32 479.20 483.42,27
遏,e4,'at,0313l,63858.020,483.38,6
戹,e4,'eak,0844a,32257.030,515.38,6
厄,e4,'eak,0844b,10068.050,163.09 515.39,13
軶,e4,'eak,0844d,53525.020,515.42,6
軛,e4,'eak,0844e,53517.080,,0
扼,e4,'eak,0844f,31834.100,,0
阸,e4,'eak,0844g,64124.010,383.40 515.43,13
阨,e4,'eak,0844h,64116.080,,0
搤,e4,'eak,0849e,31936.050,515.40,6
隘,e4,'eak,0849h,64152.150,383.38,6
詻,e4,ngaek,0766h',63969.040,511.28,6
餓,e4,ngaH,0002o,74456.020,419.31,6
噩,e4,ngak,0768a,10688.120,507.04,6
蘁,e4,ngak,0768d,53324.060,,0
㖾,e4,ngak,0788f,10655.040,,0
咢,e4,ngak,0788g,10615.060,506.32,6
愕,e4,ngak,0788h,42328.080,506.33,6
遌,e4,ngak,0788i,63858.050,506.39,6
諤,e4,ngak,0788k,63998.050,506.35,6
鄂,e4,ngak,0788l,63783.090,506.34,6
鍔,e4,ngak,0788m,64231.090,506.41,6
鶚,e4,ngak,0788n,74646.020,507.02,6
歺,e4,ngat,0269b,21379.150,484.21,6
歹,e4,ngat,0269c,21379.140,,0
恩,en1,'on,0370j,42290.180,120.30,6
兒,er2,nye,0873a,10272.050,045.33 089.57,13
唲,er2,nye,0873e,10642.040,045.35,6
而,er2,nyi,0982a,42810.010,060.38,6
栭,er2,nyi,0982c,21196.070,061.01,6
聏,er2,nyi,0982d,42788.050,,0
胹,er2,nyi,0982e,32066.130,061.11,6
鴯,er2,nyi,0982f,74628.150,061.20,6
鮞,er2,nyi,0982g,74685.110,061.15 456.24,13
鮞,er2,nyuwk,0982g,74685.110,061.15 456.24,13
爾,er3,nejX,0359a,10027.010,245.10,6
薾,er3,net,0359i,53311.050,269.32,6
爾,er3,nyeX,0359a,10027.010,245.10,6
邇,er3,nyeX,0359c,63891.110,245.12,6
珥,er3,nyiH,0981d,21109.130,357.26,6
餌,er3,nyiH,0981h,74449.130,357.24,6
耳,er3,nyiX,0981a,42783.010,252.13,6
咡,er4,nyi,0981g,10612.040,061.17 357.29,13
刵,er4,nyiH,0981c,10332.140,357.30,6
衈,er4,nyiH,0981e,53051.120,357.27,6
佴,er4,nyiH,0981f,10144.030,357.31 390.51,13
眲,er4,nyiH,0981i,42484.110,357.38 516.13,13
二,er4,nyijH,0564a,10002.010,354.03,6
弍,er4,nyijH,0564e,10558.050,354.04,6
貳,er4,nyijH,0564g,63629.020,354.05,6
樲,er4,nyijH,0564i,21286.040,354.06,6
咡,er4,nyiX,0981g,10612.040,061.17 357.29,13
發,fa1,pjot,0275c,42761.040,479.05,6
乏,fa2,bjop,0641a,10034.030,546.18,6
瞂,fa2,bjot,0276j,42502.170,477.44,6
伐,fa2,bjot,0307a,10120.080,477.36,6
罰,fa2,bjot,0308a,42923.030,477.39,6
法,fa3,pjop,0642k,31579.040,546.21,6
灋,fa3,pjop,0642l,31793.110,546.22,6
髮,fa4,pjot,0276i,74521.120,479.02,6
帆,fan1,bjom,0625d,10730.130,231.33 446.10,13
番,fan1,phjon,0195b,42543.040,114.07 114.47 127.11 163.37 420.36,34
幡,fan1,phjon,0195d,10754.140,114.48,6
旛,fan1,phjon,0195e,32185.010,114.41 114.46,13
繙,fan1,phjon,0195h,53453.120,114.15 114.52,13
拚,fan1,phjon,0220d,31862.030,396.28 411.06,13
犿,fan1,phjon,0220e,21336.210,126.15,6
轓,fan1,pjon,0195g,53556.080,114.51 116.04,13
蕃,fan1,pjon,0195m,53293.130,114.23 116.02,13
藩,fan1,pjon,0195s,53322.100,114.43 116.03,13
笲,fan2,bjenH,0220f,52961.020,114.30 281.53 411.16,20
凡,fan2,bjom,0625a,10276.030,231.32,6
袢,fan2,bjon,0181m,53084.090,114.34,6
繙,fan2,bjon,0195h,53453.120,114.15 114.52,13
燔,fan2,bjon,0195i,32235.080,114.16,6
璠,fan2,bjon,0195j,21138.030,114.29,6
膰,fan2,bjon,0195k,32112.080,114.17,6
蹯,fan2,bjon,0195l,63740.070,114.09,6
蕃,fan2,bjon,0195m,53293.130,114.23 116.02,13
笲,fan2,bjon,0220f,52961.020,114.30 281.53 411.16,20
棥,fan2,bjon,0263a,21235.050,114.35,6
樊,fan2,bjon,0263b,21282.020,114.13,6
煩,fan2,bjon,0264a,32216.050,114.06,6
𨆌,fan2,bjon,0264b,63744.140,114.08,6
繁,fan2,bjon,0265b,53444.030,114.10 126.40 162.34,20
蘩,fan2,bjon,0265d,53331.110,114.11,6
緐,fan2,bjonH,0265a,53415.021,114.36,6
反,fan3,pjonX,0262a,10391.030,114.53 281.08,13
返,fan3,pjonX,0262e,63820.010,281.12,6
氾,fan4,bjomH,0626c,31549.090,231.36 446.17,13
軓,fan4,bjomX,0625e,53516.050,337.37,6
犯,fan4,bjomX,0626a,21331.080,337.39,6
𨊠,fan4,bjomX,0626b,53514.050,,0
範,fan4,bjomX,0626d,52989.090,337.36,6
范,fan4,bjomX,0626e,53196.030,337.35,6
飯,fan4,bjonH,0262i,74444.050,281.51 398.17,13
飯,fan4,bjonX,0262i,74444.050,281.51 398.17,13
汎,fan4,bjuwng,0625f,31553.020,026.26 446.12,13
汎,fan4,phjomH,0625f,31553.020,026.26 446.12,13
氾,fan4,phjomH,0626c,31549.090,231.36 446.17,13
泛,fan4,phjomH,0641b,31569.020,446.13 546.19,13
販,fan4,pjonH,0262f,63627.050,397.28,6
芳,fang1,phjang,0740s,53184.060,178.04,6
方,fang1,pjang,0740a,32172.010,173.10 174.43,13
枋,fang1,pjang,0740k,21174.040,175.07,6
牥,fang1,pjang,0740l,31806.030,175.09,6
邡,fang1,pjang,0740o,63760.010,175.05 426.28,13
匚,fang1,pjang,0741a,10081.030,175.12,6
埅,fang2,bjang,0740a',10442.100,,0
魴,fang2,bjang,0740b',74679.060,173.09,6
坊,fang2,bjang,0740x,10427.010,173.08 175.02,13
房,fang2,bjang,0740y,32260.040,173.06 183.22,13
防,fang2,bjang,0740z,64118.010,173.07 427.08,13
妨,fang2,phjang,0740q,21033.040,178.05 426.27,13
舫,fang3,pangH,0740g,53058.030,426.49 428.19,13
訪,fang3,phjangH,0740t,63950.080,426.26,6
紡,fang3,phjangX,0740r,53376.100,312.26,6
髣,fang3,phjangX,0740u,74520.080,312.23,6
仿,fang3,phjangX,0740v,10125.060,312.25,6
舫,fang3,pjangH,0740g,53058.030,426.49 428.19,13
方,fang3,pjangX,0740a,32172.010,173.10 174.43,13
放,fang3,pjangX,0740i,21451.110,313.04 426.48,13
昉,fang3,pjangX,0740j,21496.020,313.02,6
瓬,fang3,pjangX,0740m,21423.020,313.05,6
旊,fang3,pjangX,0740n,32177.040,,0
放,fang4,pjangH,0740i,21451.110,313.04 426.48,13
霏,fei1,phj+j,0579j,64067.070,064.15,6
騑,fei1,phj+j,0579k,74561.020,064.21 064.33,13
菲,fei1,phj+j,0579l,53232.080,064.18 255.09 360.22,20
妃,fei1,phj+j,0581a,21027.110,064.17 388.06,13
非,fei1,pj+j,0579a,64086.010,064.29,6
扉,fei1,pj+j,0579d,32264.080,064.26,6
騑,fei1,pj+j,0579k,74561.020,064.21 064.33,13
飛,fei1,pj+j,0580a,74513.010,064.25,6
腓,fei2,bj+j,0579q,32087.010,064.37 360.20,13
肥,fei2,bj+j,0582a,32055.010,064.36,6
翡,fei3,bj+jH,0579p,53349.210,360.27,6
蜚,fei3,bj+jH,0579r,42861.080,255.22 360.24,13
胐,fei3,phj+jX,0530a,32065.010,,0
悱,fei3,phj+jX,0579h,42314.130,255.11,6
斐,fei3,phj+jX,0579i,32170.160,255.08,6
菲,fei3,phj+jX,0579l,53232.080,064.18 255.09 360.22,20
誹,fei3,pj+j,0579g,63985.030,064.34 359.26,13
誹,fei3,pj+jH,0579g,63985.030,064.34 359.26,13
匪,fei3,pj+jX,0579c,10087.010,255.15,6
棐,fei3,pj+jX,0579e,21230.020,255.17,6
篚,fei3,pj+jX,0579f,52997.050,255.16,6
蜚,fei3,pj+jX,0579r,42861.080,255.22 360.24,13
肺,fei4,bajH,0501g,32047.020,391.23,6
菲,fei4,bj+jH,0579l,53232.080,064.18 255.09 360.22,20
剕,fei4,bj+jH,0579m,10344.010,,0
厞,fei4,bj+jH,0579n,10073.150,,0
屝,fei4,bj+jH,0579o,20977.060,360.23,6
陫,fei4,bj+jH,0579s,64137.070,256.03,6
陫,fei4,bj+jX,0579s,64137.070,256.03,6
吠,fei4,bjojH,0348a,10587.020,391.33,6
芾,fei4,pajH,0501c,53178.060,359.24 381.11 475.18,20
昲,fei4,phj+jH,0500r,21504.050,359.37,6
費,fei4,phj+jH,0500s,63635.070,351.26 359.33 360.35,20
肺,fei4,phjojH,0501g,32047.020,391.23,6
沸,fei4,pj+jH,0500q,31597.010,359.22,6
芾,fei4,pj+jH,0501c,53178.060,359.24 381.11 475.18,20
廢,fei4,pjojH,0275f,20903.100,391.14,6
祓,fei4,pjojH,0276o,42391.030,391.18 476.49,13
廢,fei4,pjot,0275f,20903.100,391.14,6
氛,fen1,bjun,0471n,32010.130,110.34 112.11,13
紛,fen1,phjun,0471h,53375.090,112.03,6
芬,fen1,phjun,0471i,53183.010,112.02,6
雰,fen1,phjun,0471j,64059.100,112.12,6
𩞑,fen1,pjun,0437i,74469.130,,0
饙,fen1,pjun,0437j,74472.070,111.15,6
餴,fen1,pjun,0438e,74463.210,111.16,6
分,fen1,pjun,0471a,10321.030,111.14 396.43,13
𦐈,fen1,pjun,0471e,53343.090,112.07,6
翂,fen1,pjun,0471f,53343.080,,0
賁,fen2,bjun,0437a,63630.040,064.45 110.53 119.45 346.50,27
墳,fen2,bjun,0437m,10485.060,110.33 278.47,13
濆,fen2,bjun,0437o,31735.020,110.39 120.18,13
蕡,fen2,bjun,0437q,53287.120,110.49,6
豶,fen2,bjun,0437r,63619.170,110.43,6
轒,fen2,bjun,0437s,53555.040,111.13 279.02,13
幩,fen2,bjun,0437t,10753.090,,0
鼖,fen2,bjun,0438f,74764.060,110.36,6
枌,fen2,bjun,0471m,21173.040,110.47,6
頒,fen2,bjun,0471p,74362.010,110.44 128.14,13
朌,fen2,bjun,0471q,32050.050,111.05 128.16,13
棼,fen2,bjun,0471r,21226.060,110.52,6
肦,fen2,bjun,0471y,32050.050,,0
焚,fen2,bjun,0474a,32208.090,110.40,6
秎,fen2,bjunH,0471o,42594.120,396.46,6
墳,fen2,bjunX,0437m,10485.060,110.33 278.47,13
轒,fen2,bjunX,0437s,53555.040,111.13 279.02,13
弅,fen2,bjunX,0471k,10515.050,279.01,6
幩,fen2,phjun,0437t,10753.090,,0
羵,fen3,bjun,0437p,53138.130,110.45,6
粉,fen3,pjunX,0471d,53143.070,278.38,6
分,fen4,bjunH,0471a,10321.030,111.14 396.43,13
憤,fen4,bjunX,0437n,42352.110,278.41,6
忿,fen4,phjunH,0471g,42274.060,279.06 396.22,13
忿,fen4,phjunX,0471g,42274.060,279.06 396.22,13
僨,fen4,pjun,0437h,10216.140,396.29,6
拚,fen4,pjunH,0220d,31862.030,396.28 411.06,13
僨,fen4,pjunH,0437h,10216.140,396.29,6
糞,fen4,pjunH,0472a,53158.070,396.25,6
奮,fen4,pjunH,0473a,10550.030,396.30,6
夆,feng1,bjowng,1197m,20868.070,036.51,6
丰,feng1,phjowng,1197a,10028.070,037.03,6
葑,feng1,phjowng,1197k,53243.080,035.38 344.37,13
夆,feng1,phjowng,1197m,20868.070,036.51,6
烽,feng1,phjowng,1197r,32205.090,037.13,6
蜂,feng1,phjowng,1197s,42857.070,032.14 037.08,13
𧒒,feng1,phjowng,1197t,42898.030,037.09,6
鋒,feng1,phjowng,1197u,64210.080,037.02,6
豐,feng1,phjuwng,1014a,63569.020,027.04,6
麷,feng1,phjuwng,1014e,74608.060,027.09 344.01,13
封,feng1,pjowng,1197i,10504.140,035.35 344.38,13
風,feng1,pjuwng,0625h,74480.010,026.31 343.30,13
飌,feng1,pjuwng,0625i,74493.160,026.32,6
楓,feng1,pjuwng,0625n,21253.080,026.33,6
逢,feng2,bjowng,1197o,63844.020,036.46,6
𢓱,feng2,bjowng,1197p,20825.180,037.05,6
摓,feng2,bjowng,1197v,31935.040,,0
縫,feng2,bjowng,1197x,53437.220,036.47 344.34,13
渢,feng2,bjuwng,0625p,31683.020,026.29,6
捧,feng3,phjowngX,1197b',31890.080,238.25,6
俸,feng4,bjowngH,1197c',10169.160,237.12 344.32,13
縫,feng4,bjowngH,1197x,53437.220,036.47 344.34,13
奉,feng4,bjowngX,1197z,10531.050,238.23,6
鳳,feng4,bjuwngH,0625j,74616.050,342.04,6
奉,feng4,phjowngX,1197z,10531.050,238.23,6
賵,feng4,phjuwngH,1253a,63652.070,343.45,6
風,feng4,pjuwngH,0625h,74480.010,026.31 343.30,13
諷,feng4,pjuwngH,0625o,64000.100,343.29,6
佛,fi2,bjut,0500l,10140.030,476.24,6
芣,fou2,bjuw,0999i,53179.050,211.19,6
紑,fou2,phjuw,0999g,53370.040,208.11 208.25 325.02,20
紑,fou2,phjuwX,0999g,53370.040,208.11 208.25 325.02,20
不,fou3,pjuwX,0999a,10011.060,208.23 323.08 475.21,20
否,fou3,pjuwX,0999e,10586.050,249.33 323.07,13
缶,fou3,pjuwX,1107a,52935.010,323.05,6
鋪,fu1,phju,0102h',64204.120,078.39 086.26 369.48,20
尃,fu1,phju,0102p',10506.070,079.07,6
旉,fu1,phju,0102q',32180.010,,0
敷,fu1,phju,0102t',21473.070,078.32,6
泭,fu1,phju,0136h,31588.040,078.17 079.13,13
垺,fu1,phju,1233h,10446.040,,0
罦,fu1,phju,1233j,42918.010,079.09 211.11,13
垺,fu1,phjuw,1233h,10446.040,,0
膚,fu1,pju,0069g,32107.050,079.35,6
夫,fu1,pju,0101a,10521.010,078.09 079.45,13
鈇,fu1,pju,0101e,64174.050,079.38,6
柎,fu1,pju,0136d,21185.010,079.47,6
跗,fu1,pju,0136e,63696.060,079.33 364.27,13
怫,fu2,bj+jH,0500o,42288.030,360.21 476.25,13
縛,fu2,bjak,0771m,53434.130,421.06 503.36,13
夫,fu2,bju,0101a,10521.010,078.09 079.45,13
扶,fu2,bju,0101f,31833.020,077.46 079.48,13
枎,fu2,bju,0101g,21164.020,078.15,6
芙,fu2,bju,0101h,53177.110,078.02,6
榑,fu2,bju,0102v',21262.060,078.06,6
符,fu2,bju,0136m,52956.060,078.03,6
鳧,fu2,bju,0137a,74614.050,078.05,6
弗,fu2,bjut,0500a,20990.090,475.13,6
咈,fu2,bjut,0500m,10609.070,476.28,6
𡶒,fu2,bjut,0500n,10768.210,476.27,6
怫,fu2,bjut,0500o,42288.030,360.21 476.25,13
罘,fu2,bjuw,0999h,42914.040,211.16,6
枹,fu2,bjuw,1113k,21187.050,078.12 153.35 211.09,20
䍖,fu2,bjuw,1113l,42916.110,153.40 211.12,13
浮,fu2,bjuw,1233l,31629.040,211.06,6
蜉,fu2,bjuw,1233n,42857.030,211.20,6
伏,fu2,bjuwH,0935a,10119.040,436.47 453.21,13
畐,fu2,bjuwk,0933a,42531.140,453.45 528.37,13
匐,fu2,bjuwk,0933m,10260.050,453.50 530.24,13
𠬝,fu2,bjuwk,0934a,10391.020,492.12,6
服,fu2,bjuwk,0934d,32053.070,453.24,6
箙,fu2,bjuwk,0934g,52984.110,453.36,6
伏,fu2,bjuwk,0935a,10119.040,436.47 453.21,13
匐,fu2,bok,0933m,10260.050,453.50 530.24,13
孚,fu2,phju,1233a,21012.060,078.35,6
俘,fu2,phju,1233d,10164.020,078.41,6
莩,fu2,phju,1233f,53222.040,079.12 298.58,13
郛,fu2,phju,1233g,63775.010,078.37,6
桴,fu2,phju,1233k,21217.080,079.16 211.08,13
帗,fu2,phjut,0276n,10733.040,475.28 485.41,13
刜,fu2,phjut,0500f,10331.080,476.30 476.51,13
拂,fu2,phjut,0500h,31859.040,476.45,6
彿,fu2,phjut,0500i,20817.080,476.55,6
髴,fu2,phjut,0500j,74522.170,359.34 475.26 476.54,20
茀,fu2,phjut,0500k,53197.110,359.25 476.48,13
艴,fu2,phjut,0500p,53072.050,476.50 480.34,13
扶,fu2,phu,0101f,31833.020,077.46 079.48,13
幅,fu2,pik,0933k,10746.130,453.07 527.53,13
扶,fu2,pju,0101f,31833.020,077.46 079.48,13
紱,fu2,pjut,0276k,53379.090,475.14,6
韍,fu2,pjut,0276l,74504.050,352.06 475.20,13
黻,fu2,pjut,0276m,74738.030,475.15,6
綍,fu2,pjut,0491f,53401.080,475.16,6
弗,fu2,pjut,0500a,20990.090,475.13,6
笰,fu2,pjut,0500d,52960.010,475.30,6
紼,fu2,pjut,0500e,53386.090,475.17,6
茀,fu2,pjut,0500k,53197.110,359.25 476.48,13
沸,fu2,pjut,0500q,31597.010,359.22,6
巿,fu2,pjut,0501a,10728.020,475.19,6
福,fu2,pjuwk,0933d,42404.030,453.04,6
葍,fu2,pjuwk,0933i,53244.110,453.10,6
輻,fu2,pjuwk,0933j,53543.110,435.57 453.08,13
幅,fu2,pjuwk,0933k,10746.130,453.07 527.53,13
